intro:…… -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=1500;
intro:这就是你的选择吗？|欢迎你……|——在那个世界，曾被唤做「常青」的朋友。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=pixelateEffect -delayTime=5000;
intro:现在都想起来了吗？|这层意识曾在比你现在所处的世界更低的维度，所依附的身体，从来都不叫尚晨月。|她曾经被称作「常青」。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:很可惜，这具身体由于学校与家庭所赋予的压力，患上了自我认知障碍。具体表现在对过往经历的虚构与记忆的解离。|她那名为「尚晨月」的好友拥有着她所羡慕的，和睦的家庭关系与宽裕的经济条件。|她用尚晨月的现在为自己在努力地学习之后可能迎来的未来构造了畅想的素材。具体表现每天在宿舍熄灯之后，还会趴在自己的小床上幻想自己拥有尚晨月的一切，像是和蔼的父母、轻松的学习氛围和令人安心的存款…… -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:甚至是拥有尚晨月本人。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:在第698次于脑内预演着身为「尚晨月」的自己可能的发展以后·，这个身体的大脑部分地形成了身为「尚晨月」的自我认知。|但是这个认知是不完整的。这具身体只相信了自己名叫「尚晨月」，却不相信自己如同尚晨月本人一样拥有一对开明的父母，拥有像一个寻常的富裕人家的孩子那样能够为了自己的梦想飞蛾扑火的资本。|环境会在一定程度上塑造一个人。众所周知，拥有在主流价值观下的健全人格且乐观开朗的尚晨月，不可能有拥有一个缺乏着亲情的家庭与缺失了友情的成长环境。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:理论上，这种违和感应会进一步加剧了这具身体的行为的异常。|但是这具身体，却通过了一种巧妙的方式使得这个全新的自我认知与过往不匹配的经历共存了下来。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:如果用羡慕，再到嫉妒，最后形成恨的这种思维模式，去解析这具身体所出现的这种情况，是完全行不通的。|试着换一种思路吧。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:比如控制欲？ -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:「常青」对「尚晨月」施加了太多的幻想了。|比如像是希望她能够穿上自己在杂志上看见的漂亮衣服，或是希望她摆出会让自己唤起性欲的表情这样的想法。|不过「常青」是一个好孩子。因为她知道「尚晨月」不一定会乐意去做这些事，所以她就不会去因此麻烦尚晨月，把这些想法告诉她。|就像报考高中的时候不想让妈妈太累，不想让家里的财政压力更大，所以没有选择交县里的重点高中的择校费，而是去了一所非盈利性的民办高中一样。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:“自己脑子内的东西谁能管得着呢？只是做梦罢了，不会给别人添麻烦。”|「常青」是这么想的。|扮演尚晨月是一种最高效率去满足她的幻想的手段。一旦她成为了尚晨月，就不会存在尚晨月愿不愿意被她控制的这种说法了。|虽然「常青」还是没法在现实中买得起杂志上的漂亮连衣裙，但至少能在熄灯前洗手间没有人的时候摆出高潮的表情，来幻想这个神情出现在尚晨月的脸上时的样子。|这是「常青」在辛苦且乏味的高中生活中为数不多能够获得情绪价值的方法。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:不过很突然，也很可惜，尚晨月最后在跑步的时候因为心脏病抢救不及时而离世了，校方的第一反应就是封锁消息和推卸责任。|她的母亲也在事发一周之后，情绪崩溃而跳楼自尽。|她的父亲同时失去了女儿和妻子，悲痛欲绝，尾随了正在聚餐的事发当天的灵媒和下命令的年段长，捅了灵媒七刀，又把年段长的头被砍得看不清本来的模样。|之后就回到家喝了农药。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:但是「常青」却在幻想这这对夫妻还活着，还在帮助她一起为死去的尚晨月讨回公道这件事而努力着。|她拍下了死去的灵媒的尸体，在网上发出来，配文:恶有恶报。|这才引起了许多人的注意，包括那不负责任的校方。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:常青难道真的以为自己能够撼动这座小城里根系广阔的大树吗？|或许她真的引起了一些人的共鸣吧，但她也确实为自己的一时冲动付出了代价。|这就是她真实的故事了。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:最后，我有一个问题想要问「你」。|作为观众，再一次去看待这个故事，感受如何？ -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:啊？想知道「观众」是什么样子的？|好吧。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:那就好好看屏幕吧，刚刚特地用黑色背景就是怕你看不清自己的脸的。|除非你大半夜黑灯瞎火不开灯就在这里打游戏。|不过，要是现在反悔了，又想去做「演员」的话……|……希望你刚才真的按我说的做了，在刚刚的选项那里存了档。|只有这一个办法了。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
intro:毕竟，俯瞰一个低维度的故事，随意地去观测它的任意一个时间点，以此回味，甚至来干涉它的走向……|……是处在高维度的我们，残忍的特权呀。 -fontSize=small -backgroundColor=rgba(0, 0, 0, 1) -fontColor=rgba(255, 255, 255, 1) -animation=fadeIn -delayTime=5000;
end;
